timestamp,cam_id,class,conf,x1,y1,x2,y2,image_path
20251012_194111,0,helmet,0.81,143,61,427,301,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194111,0,helmet,0.83,150,64,431,291,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194111,0,helmet,0.82,161,66,433,285,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194111,0,helmet,0.87,180,67,430,258,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194111,0,helmet,0.88,178,66,424,259,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194111,0,helmet,0.86,173,66,417,259,logs/images/cam0_20251012_194111_helmet.jpg
20251012_194112,0,helmet,0.88,161,67,418,249,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.87,159,70,417,245,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.89,160,69,415,241,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.9,158,69,413,240,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.87,153,66,416,242,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.87,158,64,416,244,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.87,159,64,419,241,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.91,159,64,421,240,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.9,162,63,425,238,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.91,175,64,422,242,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.9,173,62,423,262,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.89,169,63,426,261,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.88,179,64,427,243,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194112,0,helmet,0.86,175,65,431,240,logs/images/cam0_20251012_194112_helmet.jpg
20251012_194113,0,helmet,0.86,167,63,426,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.88,176,63,430,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,176,63,432,239,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.86,169,63,427,243,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.86,167,63,428,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.88,167,64,428,240,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.88,167,64,427,240,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,168,64,428,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,168,63,427,240,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,169,63,427,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,170,64,426,242,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,170,63,425,242,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,176,65,427,241,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.86,177,65,428,242,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.86,177,65,427,242,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194113,0,helmet,0.87,177,65,426,244,logs/images/cam0_20251012_194113_helmet.jpg
20251012_194114,0,helmet,0.87,178,64,426,247,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.86,177,63,426,254,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.87,175,64,425,257,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.86,175,64,426,254,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.88,175,64,426,258,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.88,175,63,426,257,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.88,176,64,426,255,logs/images/cam0_20251012_194114_helmet.jpg
20251012_194114,0,helmet,0.86,176,63,427,257,logs/images/cam0_20251012_194114_helmet.jpg
20251012_212104,0,person,0.81,317,5,1129,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212104,0,helmet,0.57,507,7,940,288,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,person,0.84,330,5,1134,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212104,0,helmet,0.63,508,7,936,290,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,person,0.85,330,5,1132,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212104,0,helmet,0.83,510,6,939,282,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,person,0.82,340,4,1128,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212104,0,helmet,0.82,508,6,943,285,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,helmet,0.84,509,7,939,286,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,person,0.83,344,4,1131,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212104,0,helmet,0.82,510,7,943,283,logs/images/cam0_20251012_212104_helmet.jpg
20251012_212104,0,person,0.81,315,5,1125,720,logs/images/cam0_20251012_212104_person.jpg
20251012_212105,0,person,0.83,298,5,1134,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.75,508,7,943,287,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.85,277,4,1128,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.83,508,6,944,277,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,helmet,0.86,509,6,945,283,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.85,281,4,1130,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,person,0.82,302,5,1132,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.81,510,5,943,287,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.86,288,4,1134,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.84,510,5,940,284,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.82,310,4,1129,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.79,510,5,942,287,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.84,279,4,1136,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.81,510,5,946,286,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.84,297,5,1135,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.78,515,5,944,278,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.84,296,5,1137,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.81,513,6,947,275,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,helmet,0.84,513,5,944,280,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.83,299,5,1139,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.86,513,5,943,286,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.82,298,4,1127,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.84,514,7,941,289,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.82,289,5,1122,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,person,0.82,289,6,1130,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.76,521,5,942,288,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.84,286,6,1131,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.78,517,7,940,281,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212105,0,person,0.84,301,3,1130,720,logs/images/cam0_20251012_212105_person.jpg
20251012_212105,0,helmet,0.82,518,4,938,277,logs/images/cam0_20251012_212105_helmet.jpg
20251012_212106,0,person,0.82,304,5,1152,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.75,518,4,935,276,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.81,302,4,1171,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.79,518,5,928,284,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.8,312,7,1132,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.66,511,8,923,293,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.84,305,7,1120,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.55,504,10,906,301,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.86,319,36,1126,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.53,503,51,894,312,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.84,291,29,1091,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.83,294,29,1122,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.81,285,11,1092,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.82,349,69,1098,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.4,494,93,825,319,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.85,292,122,1074,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.79,253,123,1069,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,helmet,0.36,500,134,813,326,logs/images/cam0_20251012_212106_helmet.jpg
20251012_212106,0,person,0.77,219,118,1067,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.74,190,109,1051,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.74,212,161,1011,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212106,0,person,0.74,179,145,1005,720,logs/images/cam0_20251012_212106_person.jpg
20251012_212107,0,person,0.68,214,156,1031,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,person,0.69,236,156,1028,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,helmet,0.41,520,170,796,337,logs/images/cam0_20251012_212107_helmet.jpg
20251012_212107,0,person,0.73,241,163,1053,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,helmet,0.38,521,174,802,329,logs/images/cam0_20251012_212107_helmet.jpg
20251012_212107,0,person,0.71,236,155,1043,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,helmet,0.37,523,172,805,326,logs/images/cam0_20251012_212107_helmet.jpg
20251012_212107,0,person,0.73,236,158,1030,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,helmet,0.43,518,169,803,347,logs/images/cam0_20251012_212107_helmet.jpg
20251012_212107,0,person,0.76,237,159,1007,720,logs/images/cam0_20251012_212107_person.jpg
20251012_212107,0,helmet,0.46,524,171,800,325,logs/images/cam0_20251012_212107_helmet.jpg
20251012_212107,0,person,0.72,221,153,1013,720,logs/images/cam0_20251012_212107_person.jpg
