epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8713,1.69583,3.46482,1.77759,0.06139,0.14466,0.04805,0.0228,1.6834,3.37079,1.97453,3.333e-05,3.333e-05,3.333e-05
2,13.1243,1.87046,3.13234,1.98679,0.71268,0.17177,0.15209,0.07741,1.57567,2.63326,1.8223,7.62302e-05,7.62302e-05,7.62302e-05
3,14.4357,1.73212,2.28073,1.74925,0.86217,0.33985,0.39473,0.20553,1.51119,3.56777,1.79173,0.00011737,0.00011737,0.00011737
4,15.7807,1.5159,1.90866,1.58823,0.34734,0.52009,0.42684,0.2316,1.44738,2.13261,1.67278,0.000156751,0.000156751,0.000156751
5,17.033,1.52093,2.27896,1.69061,0.40633,0.60136,0.49274,0.2598,1.41833,1.94285,1.6256,0.000194372,0.000194372,0.000194372
6,18.2687,1.3505,1.50796,1.4445,0.46924,0.58289,0.55003,0.2886,1.44021,2.18295,1.62803,0.000230233,0.000230233,0.000230233
7,19.4909,1.43138,1.54429,1.45419,0.55429,0.65926,0.59512,0.31887,1.40736,1.88886,1.62604,0.000264334,0.000264334,0.000264334
8,20.6985,1.3796,1.46857,1.47099,0.52637,0.63248,0.58177,0.31248,1.39243,1.47887,1.62644,0.000296675,0.000296675,0.000296675
9,21.8414,1.37328,1.34493,1.51779,0.7497,0.52318,0.56779,0.27594,1.63448,1.47759,1.85018,0.000327256,0.000327256,0.000327256
10,22.9837,1.36947,1.22595,1.44869,0.54575,0.70013,0.66567,0.32594,1.56492,1.44086,1.81476,0.000356078,0.000356078,0.000356078
11,24.1341,1.34011,1.23912,1.46043,0.63053,0.68217,0.70582,0.36187,1.40412,1.27148,1.65791,0.000383139,0.000383139,0.000383139
12,25.2772,1.367,1.1738,1.48523,0.68306,0.62216,0.68592,0.36435,1.52944,1.2286,1.70623,0.000408441,0.000408441,0.000408441
